Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Macaque_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Macaque_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Macaque_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Macaque_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Macaque_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Chimpanzee_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Chimpanzee_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Chimpanzee_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Chimpanzee_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Chimpanzee_Cells
NFIC	macaque	0	0.513839257	0.232	0.408	MAP4K5	human	0.00330379	0.33532362	0.481	0.268	ARX	macaque	0.000222413	0.566537999	0.02	0.304	LYRM2	human	5.09E-07	0.280289724	0.275	0.117													TGFBR1	human	0.003670778	0.342787329	0.393	0.299							CBR4	human	0.000880404	0.276088619	0.432							
RSRP1	macaque	0	0.511956071	0.234	0.42	ME2	human	0.003325599	0.37222047	0.304	0.122	SRSF11	macaque	0.000224837	0.352215005	0.895	0.87	RTCB	human	5.14E-07	0.25659232	0.269	0.136													ACTR2	human	0.003696139	0.253398666	0.572	0.502							ADD2	human	0.000935473	0.27689284	0.543							
RP11-436D23.1	macaque	0	0.511255498	0.296	0.46	CDK5RAP3	human	0.00339705	0.375376781	0.353	0.183	CALM1	macaque	0.000231007	0.423349149	0.901	1	C9orf72	human	5.17E-07	0.315006953	0.405	0.23													STK39	human	0.003700956	0.278492776	0.329	0.289							HMGB3	human	0.000970691	0.337452315	0.252							
C6orf48	macaque	0	0.510690973	0.299	0.341	COL4A6	human	0.00342196	0.27894684	0.362	0.171	ARID4A	macaque	0.000231738	0.440211441	0.539	0.522	METAP1	human	5.25E-07	0.359464805	0.283	0.117													LRRC7	human	0.003911091	0.309419788	0.335	0.194							SACS	human	0.001063009	0.34654148	0.248							
SNHG16	macaque	0	0.510022054	0.209	0.346	MIER1	human	0.003480806	0.306985802	0.654	0.488	GALNT1	macaque	0.000242901	0.969351863	0.184	0.435	SNX13	human	5.80E-07	0.345255417	0.347	0.174													RIMKLB	human	0.004119072	0.266765994	0.757	0.645							ZIC2	human	0.001093039	0.288116563	0.12							
APPL1	macaque	0	0.509037478	0.29	0.422	RPP30	human	0.003647256	0.256940946	0.413	0.232	PBX1	macaque	0.000252823	0.252351561	0.849	0.696	HIPK1	human	6.14E-07	0.258151105	0.345	0.174													ABAT	human	0.004231167	0.266869941	0.671	0.498							CACUL1	human	0.001143408	0.282952756	0.483							
CANX	macaque	0	0.50685888	0.497	0.649	GATM	human	0.003693374	0.261252034	0.456	0.256	UAP1	macaque	0.000268688	0.983418938	0.059	0.261	CHMP3	human	6.26E-07	0.302987333	0.326	0.155													C16orf72	human	0.004248265	0.301082018	0.514	0.389							AC016716.2	human	0.001169984	0.337500876	0.158							
GSTP1	macaque	0	0.505655495	0.679	0.757	CBFA2T2	human	0.003734279	0.318865438	0.36	0.171	CTNNAL1	macaque	0.000282991	0.793831876	0.112	0.261	DCAF8	human	6.86E-07	0.252170256	0.26	0.103													CRIP2	human	0.00445568	0.254078015	0.422	0.322							TMEM245	human	0.001191401	0.342228993	0.265							
SRSF5	macaque	0	0.502507538	0.601	0.773	CLCN6	human	0.003782095	0.383663301	0.287	0.134	TMEM123	macaque	0.000286057	0.73753995	0.401	0.478	C12orf65	human	7.02E-07	0.332561731	0.309	0.136													RAP1GDS1	human	0.004797059	0.255612019	0.509	0.398							PCYOX1	human	0.00127675	0.318954683	0.201							
RTN3	macaque	0	0.495847321	0.787	0.96	LDOC1L	human	0.003847754	0.320675322	0.323	0.146	PRDX2	macaque	0.000301637	0.362871586	0.855	0.826	ZNF568	human	8.94E-07	0.278025017	0.314	0.15													JPX	human	0.004908237	0.270905792	0.572	0.427							PER2	human	0.001346702	0.304500486	0.316							
ARID1B	macaque	0	0.495512394	0.708	0.817	NUP93	human	0.003869109	0.308089606	0.514	0.305	CLCN3	macaque	0.000310981	0.873788273	0.303	0.609	STX2	human	1.14E-06	0.356218512	0.272	0.113													RNF149	human	0.005154097	0.276549409	0.439	0.28							EMC10	human	0.001378874	0.31931759	0.192							
SEC63	macaque	0	0.495263198	0.51	0.715	SLX4IP	human	0.00407633	0.406207381	0.346	0.159	C12orf57	macaque	0.000321699	0.499252332	0.493	0.522	VASH2	human	1.98E-06	0.279211884	0.352	0.183													LSG1	human	0.005725326	0.283020087	0.306	0.213							AMZ2	human	0.001402277	0.291805845	0.248							
RP11-76I14.1	macaque	0	0.495139037	0.153	0.29	ZNF680	human	0.004278981	0.308103657	0.29	0.146	SEC62	macaque	0.000323731	0.255807652	0.664	0.609	PELI2	human	1.98E-06	0.322227896	0.28	0.127													WLS	human	0.006174188	0.2791962	0.428	0.308							OCIAD2	human	0.001524825	0.255467178	0.385							
ASPH	macaque	0	0.494290358	0.223	0.38	RPRD1A	human	0.004326649	0.311472611	0.376	0.195	ALDH2	macaque	0.00034667	0.858283143	0.151	0.565	VPS13D	human	1.99E-06	0.278011949	0.31	0.146													NUPL2	human	0.006324108	0.284827443	0.364	0.27							NARF	human	0.001716908	0.300893328	0.397							
LINC01105	macaque	0	0.49212772	0.129	0.267	SP1	human	0.004334631	0.320310925	0.414	0.244	TMEM50A	macaque	0.000354079	0.48725006	0.276	0.261	TTC28-AS1	human	2.05E-06	0.297711448	0.291	0.131													PACS2	human	0.006704811	0.251863744	0.26	0.128							LLPH	human	0.001717779	0.308416283	0.124							
ENY2	macaque	0	0.491558635	0.393	0.513	HIST1H1C	human	0.004341912	0.283775661	0.441	0.28	RP3-415N12.1	macaque	0.000354745	1.013302373	0.079	0.348	L3MBTL3	human	2.13E-06	0.2705462	0.264	0.117													PCNXL4	human	0.007121548	0.285287619	0.59	0.493							LINC01278	human	0.001738938	0.297253782	0.205							
KIAA1107	macaque	0	0.49048061	0.242	0.323	BNIP2	human	0.004425125	0.413537482	0.367	0.207	KIF1B	macaque	0.000357163	0.457405552	0.809	0.826	HECA	human	2.22E-06	0.422763478	0.254	0.108													EFNA5	human	0.00714532	0.317678946	0.301	0.156							RAP1GDS1	human	0.00178341	0.302689801	0.419							
CSNK2B	macaque	0	0.490232829	0.409	0.42	MED28	human	0.004497022	0.261376032	0.456	0.268	PNMA1	macaque	0.000357335	0.887079256	0.224	0.522	SLC35F5	human	2.28E-06	0.297252803	0.275	0.127													SUMO3	human	0.007333606	0.258507394	0.41	0.313							RP11-499P20.2	human	0.001787074	0.269626635	0.278							
GSTM3	macaque	0	0.48753548	0.238	0.378	ISG20L2	human	0.004543304	0.281083215	0.297	0.122	SNHG1	macaque	0.000359777	0.4865877	0.322	0.304	RAB11FIP2	human	2.43E-06	0.266619603	0.276	0.146													PIP4K2A	human	0.007443948	0.286900652	0.289	0.156							ZNF516	human	0.001805701	0.33117729	0.167							
XYLT1	macaque	0	0.487104092	0.155	0.315	ZNF252P	human	0.004577808	0.277577657	0.292	0.122	ENY2	macaque	0.000365093	0.455337459	0.408	0.522	USP42	human	2.86E-06	0.282608358	0.314	0.155													RAB8A	human	0.007509615	0.265628407	0.312	0.199							SLC4A10	human	0.001830359	0.302355116	0.368							
MSL2	macaque	0	0.486238028	0.362	0.504	UBA2	human	0.00484787	0.35197901	0.467	0.293	PNISR	macaque	0.000365588	0.347082286	0.934	0.957	TTYH3	human	3.87E-06	0.264664665	0.289	0.131													ZFYVE16	human	0.008093107	0.267453381	0.538	0.374							BROX	human	0.00199993	0.275763103	0.444							
CISD1	macaque	0	0.482758034	0.204	0.339	RAB6A	human	0.004871985	0.295857748	0.484	0.28	ZCCHC17	macaque	0.000368177	0.855287383	0.237	0.565	POGK	human	5.13E-06	0.259045543	0.291	0.155													PTS	human	0.008218395	0.290537382	0.283	0.175							TSC1	human	0.002080495	0.297866242	0.402							
ROMO1	macaque	0	0.479527489	0.423	0.562	AGPS	human	0.004879261	0.309035718	0.301	0.134	RPS23	macaque	0.000384065	0.410547935	0.908	0.957	SOS1	human	5.99E-06	0.286984581	0.395	0.221													DDHD1	human	0.008832557	0.279665188	0.387	0.322							GAN	human	0.002083817	0.292185062	0.402							
FANCM	macaque	0	0.478232119	0.151	0.271	WDR82	human	0.004895004	0.308199812	0.371	0.183	DLG1	macaque	0.000400075	0.766901212	0.342	0.522	DOCK3	human	7.20E-06	0.268429251	0.252	0.113													ING3	human	0.008992328	0.270996044	0.578	0.488							PDGFA	human	0.002087399	0.321984159	0.162							
ATAT1	macaque	0	0.477731168	0.52	0.482	ELMO2	human	0.005103815	0.39330871	0.269	0.11	PTMS	macaque	0.000408294	0.690476331	0.27	0.522	ZNRF1	human	7.33E-06	0.259069968	0.268	0.127													AMZ2P1	human	0.009006179	0.269653191	0.306	0.175							VPS45	human	0.002108335	0.282510683	0.158							
10-Sep	macaque	0	0.477590937	0.714	0.861	BCL10	human	0.005103941	0.258428809	0.486	0.293	RCC1	macaque	0.000418887	0.706082564	0.026	0.304	SGCE	human	7.93E-06	0.281992801	0.289	0.155													RNF130	human	0.009304276	0.291247448	0.445	0.308							MCFD2	human	0.002130364	0.31224578	0.248							
BZW1	macaque	0	0.477259702	0.649	0.805	RNF217	human	0.005144174	0.32629227	0.313	0.134	CCNG2	macaque	0.00042122	0.65336968	0.382	0.435	ZNF253	human	1.18E-05	0.27650649	0.252	0.113													CDO1	human	0.009402698	0.277714316	0.428	0.336							DROSHA	human	0.002190447	0.298237746	0.239							
WDR83OS	macaque	0	0.474218178	0.374	0.476	RRNAD1	human	0.005394849	0.261808532	0.351	0.195	SORBS1	macaque	0.000424071	0.349321058	0.73	0.652	LCORL	human	1.31E-05	0.304141269	0.317	0.169													DDAH1	human	0.009959656	0.303464847	0.416	0.327							MAPKAPK5	human	0.002253897	0.290250078	0.274							
COX14	macaque	0	0.474022137	0.135	0.267	TAF15	human	0.005673811	0.256147899	0.308	0.134	FNDC3A	macaque	0.000425613	0.759843668	0.375	0.609	CTNNA1	human	1.43E-05	0.276158453	0.342	0.188																									SLC35A1	human	0.002359145	0.268276207	0.167							
BRD2	macaque	0	0.470708167	0.684	0.587	CRK	human	0.005807683	0.351051024	0.423	0.232	ERLEC1	macaque	0.000440691	0.815023515	0.211	0.391	TSTD2	human	1.68E-05	0.277099966	0.287	0.136																									MED19	human	0.002394745	0.274520745	0.261							
TMEM167A	macaque	0	0.470569591	0.326	0.459	ROCK1	human	0.005811981	0.286442772	0.516	0.317	FOXG1	macaque	0.000446308	0.32973249	0.882	0.957	SCRN1	human	3.64E-05	0.257287327	0.311	0.174																									MRFAP1L1	human	0.002416524	0.324359132	0.355							
RPSA	macaque	0	0.469856839	0.696	0.786	CRYZL1	human	0.005815429	0.310838117	0.416	0.22	TSPAN3	macaque	0.000446744	0.765116398	0.414	0.696	C5orf15	human	4.34E-05	0.294095008	0.271	0.15																									SGCE	human	0.002764242	0.354460105	0.162							
MPHOSPH9	macaque	0	0.469435871	0.213	0.348	MOB1B	human	0.005989242	0.377685998	0.29	0.122	ZNHIT6	macaque	0.000457892	0.972043831	0.105	0.348	FBXW2	human	0.000326958	0.251933097	0.26	0.136																									MRPL3	human	0.002883105	0.32418569	0.184							
TUBB	macaque	0	0.469252152	0.943	0.921	GABPA	human	0.006046516	0.26733992	0.274	0.11	UQCRC2	macaque	0.000473803	0.536525687	0.414	0.391	RP11-321A17.3	macaque	0	1.502362145	0.024	0.638																									TPT1-AS1	human	0.003199825	0.252844141	0.137							
TSPAN3	macaque	0	0.467710889	0.408	0.564	PPAT	human	0.006131805	0.340455214	0.36	0.22	SUB1	macaque	0.000492945	0.615989933	0.704	0.826	RP11-415K20.1	macaque	0	1.476265043	0.001	0.798																									IDI1	human	0.003353303	0.254372581	0.419							
LIN7C	macaque	0	0.466531773	0.495	0.652	NOLC1	human	0.006145386	0.261371062	0.512	0.317	FAM184B	macaque	0.000514778	0.922067008	0.046	0.348	UBTD2	macaque	0	1.427952141	0.15	0.634																									ABCD4	human	0.00344789	0.328001691	0.184							
DEDD	macaque	0	0.46632557	0.288	0.462	CHIC2	human	0.006371607	0.2878061	0.278	0.11	MPZL1	macaque	0.000520188	0.884966325	0.224	0.522	CLIC4	macaque	0	1.375950961	0.231	0.728																									DOCK9	human	0.003474675	0.260944706	0.355							
VIM	macaque	0	0.464912395	0.273	0.413	DHX40	human	0.006643276	0.281638901	0.483	0.354	LENG8	macaque	0.000526157	0.612265221	0.27	0.348	ZNF776	macaque	0	1.366858544	0.156	0.653																									SS18	human	0.003750199	0.290819607	0.295							
LLNLF-187D8.1	macaque	0	0.464461592	0.189	0.292	IVD	human	0.006732225	0.333207186	0.358	0.195	CNN3	macaque	0.000557057	0.421622394	0.875	0.913	AKR7L	macaque	0	1.352187766	0.028	0.474																									GTPBP8	human	0.003763254	0.302668723	0.154							
SEZ6L	macaque	0	0.464063206	0.314	0.45	LRRTM3	human	0.006967349	0.263538364	0.276	0.134	SNHG8	macaque	0.000569668	0.499615554	0.243	0.304	ATP6V1G1P3	macaque	0	1.277330795	0	0.493																									ARSB	human	0.003784444	0.300401527	0.201							
NDUFB10	macaque	0	0.463762187	0.212	0.32	CDK19	human	0.007021373	0.325726541	0.292	0.146	GSTM3	macaque	0.000577977	0.95354617	0.092	0.304	IFI27L2	macaque	0	1.267064922	0.066	0.554																									BAIAP2-AS1	human	0.003989611	0.279631275	0.205							
NDUFB2	macaque	0	0.462875931	0.548	0.675	MCM5	human	0.007022693	0.275472407	0.301	0.146	NUP98	macaque	0.000585507	0.322769764	0.296	0.217	AC104389.32	macaque	0	1.258079265	0.001	0.638																									EI24	human	0.004074168	0.273889738	0.252							
ATP5G3	macaque	0	0.462485568	0.41	0.503	NAT10	human	0.007248727	0.310283077	0.267	0.11	PHF5A	macaque	0.000587262	0.926650009	0.099	0.391	CTD-2651B20.2	macaque	0	1.244354451	0.001	0.765																									TTC17	human	0.004545602	0.253736212	0.581							
LAMTOR3	macaque	0	0.460876324	0.281	0.417	THUMPD2	human	0.007255491	0.253345016	0.278	0.244	ZKSCAN1	macaque	0.00059838	0.423588464	0.743	0.696	AC079233.1	macaque	0	1.237516029	0.155	0.69																									BHLHB9	human	0.004576569	0.312726563	0.222							
DNAJC2	macaque	0	0.459725804	0.244	0.371	PIKFYVE	human	0.007272075	0.302167578	0.491	0.293	CTBP1	macaque	0.000609366	0.299347386	0.789	0.87	FMR1	macaque	0	1.194141799	0.322	0.831																									GRIK2	human	0.004763053	0.273348146	0.278							
TMEM258	macaque	0	0.459462108	0.496	0.678	NOL11	human	0.00728489	0.332397489	0.371	0.195	RFX3	macaque	0.000618843	0.581458731	0.375	0.391	ZNF134	macaque	0	1.176734008	0.167	0.7																									PARD6B	human	0.004940893	0.33607165	0.222							
SRSF2	macaque	0	0.459239909	0.58	0.661	CHMP3	human	0.007297528	0.269600516	0.336	0.159	CASC4	macaque	0.000641788	0.869838636	0.322	0.522	KCTD10	macaque	0	1.170074097	0.233	0.592																									HECA	human	0.005138613	0.350223426	0.218							
COX8A	macaque	0	0.459212637	0.442	0.573	MTA3	human	0.007338719	0.366006144	0.271	0.159	RPL14	macaque	0.00066374	0.391968814	0.888	0.957	ZNF548	macaque	0	1.112654356	0.152	0.493																									AACS	human	0.0052611	0.332823154	0.197							
CLASP2	macaque	0	0.458881914	0.749	0.863	SMG5	human	0.007451994	0.268818693	0.281	0.159	PSMD11	macaque	0.000666294	0.375336821	0.605	0.652	CAMSAP1	macaque	0	1.086150927	0.408	0.742																									C1orf52	human	0.005416753	0.271818594	0.402							
YWHAE	macaque	0	0.458769925	0.979	0.989	NR1D2	human	0.007652647	0.374697243	0.262	0.11	PSMB3	macaque	0.000687738	0.315617037	0.487	0.348	RRP1B	macaque	0	1.085056324	0.285	0.676																									TRIM36	human	0.005548363	0.292871048	0.154							
PDP1	macaque	0	0.458517699	0.243	0.388	ARL4C	human	0.007995955	0.264938108	0.327	0.171	PSMB4	macaque	0.00069182	0.317129495	0.599	0.478	KRAS	macaque	0	1.073047987	0.327	0.657																									MARS	human	0.005647056	0.337251653	0.248							
LEPROT	macaque	0	0.457795419	0.302	0.353	PRR11	human	0.008353023	0.290242257	0.283	0.122	GLOD4	macaque	0.00071049	0.712933648	0.401	0.739	NDUFC2-KCTD14	macaque	0	1.071125992	0	0.479																									ANAPC16	human	0.005840849	0.273926521	0.329							
MAT2A	macaque	0	0.457025859	0.246	0.406	MON1B	human	0.008427525	0.335378467	0.304	0.134	TMED7	macaque	0.000750143	0.869436449	0.138	0.304	SH3BGRL2	macaque	0	1.066342837	0.214	0.62																									DBT	human	0.006091025	0.285449035	0.158							
DDOST	macaque	0	0.455943094	0.246	0.364	DNAJB14	human	0.008563913	0.288670239	0.406	0.22	MDK	macaque	0.000751021	0.607156775	0.533	0.739	PRDX2P4	macaque	0	1.063266236	0.012	0.577																									ZNF518B	human	0.006220264	0.276160207	0.312							
ATP8A2	macaque	0	0.454145517	0.178	0.278	GNL2	human	0.008598654	0.319827435	0.316	0.159	CEBPZ	macaque	0.000755622	0.582855411	0.316	0.435	MIR17HG	macaque	0	1.058579344	0.119	0.441																									ZNF280D	human	0.006293655	0.25465272	0.192							
CST3	macaque	0	0.451237066	0.143	0.262	HSF2	human	0.008640933	0.310576064	0.332	0.159	KDM2A	macaque	0.000767226	0.357155749	0.5	0.435	RP11-142O6.1	macaque	0	1.042018028	0.043	0.319																									MAK16	human	0.00682252	0.318793617	0.222							
SCNM1	macaque	0	0.451055368	0.266	0.385	TMEM158	human	0.008862422	0.268417639	0.301	0.134	TMSB15A	macaque	0.00079592	0.490450531	0.724	0.739	CTC-470C15.1	macaque	0	1.039984421	0.001	0.254																									PHF21A	human	0.007060967	0.261863723	0.368							
POLR2E	macaque	0	0.450905813	0.26	0.343	DIS3	human	0.008922885	0.278711269	0.302	0.134	AUTS2	macaque	0.000806908	0.368087693	0.895	0.913	RP11-69L16.3	macaque	0	1.034290342	0.001	0.385																									DMD	human	0.007538577	0.270313084	0.376							
ADNP2	macaque	0	0.45016148	0.191	0.265	POLI	human	0.00894922	0.381172804	0.334	0.183	WDR83OS	macaque	0.000807019	0.767081907	0.362	0.696	RP4-775C13.1	macaque	0	1.025926949	0.063	0.39																									VPS41	human	0.0077022	0.264240508	0.41							
PTN	macaque	0	0.449439638	0.364	0.46	PLCB4	human	0.008952175	0.320151241	0.262	0.159	SNRPF	macaque	0.000816959	0.322036157	0.513	0.522	YOD1	macaque	0	1.017654597	0.087	0.333																									ETFB	human	0.007827245	0.270906343	0.145							
CHN1	macaque	0	0.449053796	0.163	0.322	KIAA1191	human	0.009006439	0.274813253	0.388	0.207	TTC14	macaque	0.000855805	0.463162605	0.263	0.261	C1orf198	macaque	0	1.014086923	0.182	0.554																									AHSA1	human	0.008127457	0.272851127	0.397							
TSPAN7	macaque	0	0.44685908	0.388	0.524	AMZ2P1	human	0.009084986	0.341257506	0.253	0.122	NAP1L1	macaque	0.00085707	0.290351057	0.901	0.957	CHIC1	macaque	0	1.001302072	0.055	0.296																									RAB33B	human	0.008255724	0.273851434	0.214							
NDUFS3	macaque	0	0.446745946	0.195	0.269	GGCT	human	0.009260148	0.263212377	0.329	0.159	C1orf174	macaque	0.000861838	0.630205313	0.237	0.304	METTL23	macaque	0	0.995117826	0.065	0.338																									PI4KA	human	0.009824494	0.254104731	0.333							
TMEM106B	macaque	0	0.444957577	0.256	0.371	MOB1A	human	0.009287097	0.3287858	0.568	0.39	SPTBN1	macaque	0.00086798	0.755226946	0.487	0.783	NDRG3	macaque	0	0.989759786	0.264	0.62																																				
CETN2	macaque	0	0.442810834	0.187	0.325	MOV10	human	0.009294096	0.348010796	0.325	0.171	RAPGEF2	macaque	0.000882916	0.388226452	0.461	0.391	CCDC6	macaque	0	0.988479403	0.139	0.413																																				
NDUFB4	macaque	0	0.439960225	0.561	0.715	RAF1	human	0.009964608	0.269395487	0.547	0.439	ITM2B	macaque	0.000883618	0.77658012	0.296	0.609	ZNF487	macaque	0	0.977186645	0.025	0.3																																				
LSM12	macaque	0	0.43956114	0.603	0.619	GRIK2	macaque	0	1.572422009	0.037	0.841	DYNLRB1	macaque	0.000893459	0.703200473	0.447	0.739	MFAP2	macaque	0	0.968191506	0.092	0.404																																				
RBMX	macaque	0	0.435746465	0.863	0.949	RP11-415K20.1	macaque	0	1.507762561	0.003	0.963	ABI1	macaque	0.000961047	0.747597335	0.316	0.522	ABHD17B	macaque	0	0.967774875	0.129	0.441																																				
RBM15	macaque	0	0.435688196	0.153	0.253	RP11-321A17.3	macaque	0	1.371989811	0.019	0.744	GSPT1	macaque	0.001015989	0.581147727	0.362	0.435	TSPAN13	macaque	0	0.964409477	0.386	0.808																																				
TMEM14B	macaque	0	0.434790497	0.357	0.504	ZNF487	macaque	0	1.368209341	0.072	0.732	ZFHX4	macaque	0.001025323	0.647743003	0.592	0.87	SNHG1	macaque	0	0.956054366	0.305	0.61																																				
TUBB3	macaque	0	0.434730138	0.256	0.288	AKR7L	macaque	0	1.354716747	0.031	0.671	BASP1	macaque	0.001027412	0.527982749	0.704	0.87	ATP11C	macaque	0	0.954164485	0.287	0.54																																				
XPO4	macaque	0	0.433841748	0.208	0.388	CTC-301O7.4	macaque	0	1.28495418	0.005	0.671	AC079233.1	macaque	0.001052636	0.75131106	0.059	0.304	YRDC	macaque	0	0.94832713	0.115	0.399																																				
TOMM7	macaque	0	0.433140503	0.479	0.575	UBTD2	macaque	0	1.259336933	0.152	0.707	CPEB4	macaque	0.00105725	0.36124072	0.625	0.652	MDC1	macaque	0	0.945909786	0.112	0.31																																				
SH3BGRL3	macaque	0	0.43195192	0.446	0.536	MGST1	macaque	0	1.257945872	0.105	0.707	HNRNPH3	macaque	0.001060287	0.445236292	0.638	0.652	RP11-114M5.3	macaque	0	0.938985042	0.002	0.634																																				
UBL5	macaque	0	0.43019826	0.538	0.615	CTD-2651B20.2	macaque	0	1.165514652	0.002	0.866	RBM25	macaque	0.001062783	0.311271411	0.842	0.783	WDR1	macaque	0	0.936383616	0.169	0.549																																				
CUL3	macaque	0	0.429501925	0.435	0.513	RCBTB2	macaque	0	1.153601194	0.255	0.78	LSM8	macaque	0.001099971	0.48574741	0.289	0.304	TIMM8BP2	macaque	0	0.926924895	0.018	0.432																																				
IPO9	macaque	0	0.428888474	0.466	0.589	MT1E	macaque	0	1.13682286	0.035	0.707	ZRANB2	macaque	0.00110469	0.509517044	0.539	0.565	CDV3	macaque	0	0.922865806	0.412	0.718																																				
LIMCH1	macaque	0	0.428449501	0.462	0.605	PARP8	macaque	0	1.131198952	0.121	0.598	ZNF131	macaque	0.00116782	0.524415583	0.368	0.435	GNPTAB	macaque	0	0.911947993	0.394	0.714																																				
FOXJ3	macaque	0	0.427726485	0.328	0.409	C1orf198	macaque	0	1.121271868	0.355	0.915	EIF2A	macaque	0.001179965	0.552886722	0.368	0.478	RP11-234B24.6	macaque	0	0.902135513	0.011	0.268																																				
CADM1	macaque	0	0.425475537	0.63	0.708	CRYAB	macaque	0	1.115199821	0.182	0.61	MPHOSPH9	macaque	0.001207568	0.928670189	0.171	0.435	LINC00854	macaque	0	0.896979724	0.027	0.263																																				
SLK	macaque	0	0.422955059	0.283	0.413	NDUFC2-KCTD14	macaque	0	1.103765071	0	0.707	ANKHD1	macaque	0.001311708	0.669674411	0.211	0.261	MPZL1	macaque	0	0.889978147	0.296	0.563																																				
ZNF207	macaque	0	0.422925535	0.626	0.714	REEP1	macaque	0	1.102151225	0.192	0.695	BAZ1A	macaque	0.001311737	0.509130104	0.441	0.478	UGCG	macaque	0	0.886377095	0.445	0.784																																				
C11orf31	macaque	0	0.419655775	0.255	0.325	KRAS	macaque	0	1.101865699	0.329	0.805	GNAO1	macaque	0.001324381	0.612999169	0.336	0.478	NRAS	macaque	0	0.885274121	0.248	0.535																																				
UBAP2L	macaque	0	0.418840018	0.396	0.445	RP11-2E11.9	macaque	0	1.088334682	0.077	0.537	C4orf46	macaque	0.00133762	0.848970951	0.197	0.391	RCBTB2	macaque	0	0.868622634	0.147	0.352																																				
COPG2	macaque	0	0.418087572	0.259	0.343	PKMP5	macaque	0	1.084486175	0.003	0.61	BRK1	macaque	0.001347063	0.464900191	0.526	0.565	ZKSCAN8	macaque	0	0.868118393	0.168	0.404																																				
TRAPPC6B	macaque	0	0.417559992	0.255	0.311	RP11-114M5.3	macaque	0	1.081337392	0.007	0.854	PCYOX1	macaque	0.001347113	0.917389827	0.178	0.478	LARP4	macaque	0	0.862437599	0.251	0.554																																				
MRPL27	macaque	0	0.417487681	0.241	0.329	CTC-470C15.1	macaque	0	1.080617301	0.002	0.427	CISD1	macaque	0.001362704	0.882475356	0.164	0.435	MIR125B1	macaque	0	0.860884747	0.12	0.376																																				
NDUFA3	macaque	0	0.417388533	0.502	0.471	NRAS	macaque	0	1.061381403	0.339	0.817	YTHDF3	macaque	0.001386768	0.449473353	0.303	0.261	ZIK1	macaque	0	0.859686497	0.083	0.31																																				
PAICS	macaque	0	0.417139878	0.339	0.482	STOM	macaque	0	1.053855306	0.226	0.671	ZNF706	macaque	0.001394474	0.542436663	0.408	0.435	PANK3	macaque	0	0.859097151	0.513	0.789																																				
ABCF1	macaque	0	0.416570015	0.377	0.357	RP4-775C13.1	macaque	0	1.033613583	0.086	0.488	POLR1C	macaque	0.001408266	1.080765445	0.099	0.391	TMEM97	macaque	0	0.858477231	0.198	0.413																																				
USP7	macaque	0	0.415906269	0.601	0.701	TGFB2	macaque	0	1.025521086	0.126	0.427	COX7A2	macaque	0.001452571	0.350897429	0.757	0.739	ERBB2IP	macaque	0	0.857672037	0.321	0.582																																				
RAPGEF2	macaque	0	0.415341733	0.477	0.554	DCLK2	macaque	0	1.015925422	0.208	0.671	ANAPC4	macaque	0.00145409	1.001420031	0.138	0.391	TIMM8B	macaque	0	0.857294616	0.282	0.535																																				
SLIRP	macaque	0	0.41516317	0.52	0.652	AC104389.32	macaque	0	1.004312958	0.003	0.756	RDX	macaque	0.001482954	0.647537517	0.559	0.696	TMED7	macaque	0	0.850549615	0.132	0.357																																				
GNAO1	macaque	0	0.41501563	0.524	0.62	ATP6V1G1P3	macaque	0	0.990990664	0	0.476	WSB2	macaque	0.001536923	0.624917387	0.539	0.783	AL133243.2	macaque	0	0.849734606	0.098	0.31																																				
FAM107B	macaque	0	0.413145447	0.272	0.329	ZNHIT6	macaque	0	0.964379781	0.25	0.634	YWHAH	macaque	0.001540919	0.595953917	0.408	0.435	KPNA4	macaque	0	0.848927398	0.442	0.718																																				
TALDO1	macaque	0	0.41246183	0.323	0.446	MDC1	macaque	0	0.96021469	0.238	0.634	HCFC1	macaque	0.001562869	0.424190112	0.526	0.565	RP11-2E11.9	macaque	0	0.846374182	0.115	0.324																																				
SLU7	macaque	0	0.4122123	0.308	0.395	GNPTAB	macaque	0	0.954195171	0.229	0.683	SCNM1	macaque	0.001595151	0.646505548	0.283	0.391	SFXN3	macaque	0	0.845522799	0.283	0.587																																				
ANP32B	macaque	0	0.411087355	0.235	0.292	RP11-69L16.3	macaque	0	0.950873773	0	0.488	CAPG	macaque	0.00167244	0.795117659	0.033	0.261	YPEL5	macaque	0	0.844869831	0.444	0.7																																				
